ticker,label,n_trades,n_episodes,verdict,detail,wr_pct,mean_pct,median_pct,ci95_lo_pct,p1,p3,p4,passed
NSSS,MOMENTUM,258,13,LULUS 2/3,,46.15384615384615,0.9457208078448329,-0.42071739495332,-0.43618200186916606,True,True,False,2.0
NTBK,MOMENTUM,57,5,SAMPEL TIPIS,cuma 5 episode (min 12),,,,,,,,
OILS,MOMENTUM,107,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
PADI,MOMENTUM,124,16,LULUS 2/3,,50.0,3.646965726695322,0.48442028985507596,-0.35850707740774285,True,True,False,2.0
PAMG,MOMENTUM,46,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
PANI,MOMENTUM,126,14,LULUS 0/3,,21.428571428571427,-1.013403870297735,-1.6389153435281554,-1.6949325867624803,False,False,False,0.0
PGAS,MOMENTUM,147,13,LULUS 0/3,,7.6923076923076925,-1.256145332549988,-1.5094663196633398,-1.6307546645894944,False,False,False,0.0
PNLF,MOMENTUM,89,12,LULUS 1/3,,50.0,0.20090128379270888,-0.16051833402089227,-0.284972780778055,False,True,False,1.0
PSAB,MOMENTUM,132,13,LULUS 1/3,,84.61538461538461,0.8139766205575348,0.8316526894884619,-0.23714048124394627,False,True,False,1.0
PTBA,MOMENTUM,145,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
PTRO,MOMENTUM,251,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
RAJA,MOMENTUM,149,15,LULUS 2/3,,53.333333333333336,0.738662635229086,0.0777391363964239,-0.4217913313004418,True,True,False,2.0
RATU,MOMENTUM,76,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
REAL,MOMENTUM,110,14,LULUS PENUH,,71.42857142857143,3.4629100775572406,2.5578282828282797,1.0517236725404682,True,True,True,3.0
RMKE,MOMENTUM,154,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
SLIS,MOMENTUM,71,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
SMIL,MOMENTUM,219,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
SSIA,MOMENTUM,152,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
SWID,MOMENTUM,93,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
TINS,MOMENTUM,163,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
TKIM,MOMENTUM,143,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
TLKM,MOMENTUM,87,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
TOBA,MOMENTUM,145,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
TOWR,MOMENTUM,67,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
TPIA,MOMENTUM,111,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
VKTR,MOMENTUM,204,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
WIFI,MOMENTUM,173,13,LULUS 2/3,,69.23076923076923,1.255575194953276,0.6730425184479996,-0.15259307968026453,True,True,False,2.0
WIRG,MOMENTUM,83,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
WMUU,MOMENTUM,98,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
